Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5075587140,wyaggy3,0,560.5,G Shane Lowry G Nicolai Hojgaard G Max McGreevy G Hao-Tong Li G Nicolas Echavarria G Joel Dahmen,,Ryan Gerard,G,53.33%,78.5
2,5075587330,abboduece22,0,484,G Nicolai Hojgaard G Aaron Rai G Christiaan Bezuidenhout G Max McGreevy G Max Homa G Joel Dahmen,,Nicolai Hojgaard,G,53.33%,100.5
3,5075734587,sam.scire,0,472.5,G Shane Lowry G Brooks Koepka G Alex Smalley G Sami Valimaki G Seamus Power G Nicolas Echavarria,,Hao-Tong Li,G,46.67%,71
4,5075658384,jpetruney,0,462.5,G Ryan Gerard G Nicolai Hojgaard G Christiaan Bezuidenhout G Hao-Tong Li G Mackenzie Hughes G Carson Young,,Shane Lowry,G,40.00%,116.5
5,5074875137,samthemaam5,0,461,G Ryan Gerard G Brooks Koepka G Aaron Rai G Hao-Tong Li G Mackenzie Hughes G Takumi Kanaya,,Aaron Rai,G,40.00%,73
6,5075590759,boxmuncher,0,440.5,G Ryan Gerard G Nicolai Hojgaard G Alex Smalley G Hao-Tong Li G John Parry G Joel Dahmen,,Christiaan Bezuidenhout,G,33.33%,70.5
7,5075587617,mtibaudo,0,440,G Shane Lowry G Ryan Gerard G Aaron Rai G Max McGreevy G David Lipsky G Zachary Bauchou,,Joel Dahmen,G,33.33%,78
8,5075794851,johncastronovo,0,439.5,G Nicolai Hojgaard G Aaron Rai G Hao-Tong Li G Max Homa G Jordan L. Smith G Stephan Jaeger,,Max McGreevy,G,26.67%,72.5
9,5075116878,capc,0,424.5,G Shane Lowry G Ryan Gerard G Alex Smalley G John Keefer G Billy Horschel G Zecheng Dou,,Michael Thorbjornsen,G,20.00%,26.5
10,5075649871,rohansharma99,0,420.5,G Shane Lowry G Ryan Gerard G Aaron Rai G Christiaan Bezuidenhout G Erik Van Rooyen G Joe Highsmith,,Alex Smalley,G,20.00%,61
11,5075579014,cm30,0,371,G Shane Lowry G Keith Mitchell G Michael Thorbjornsen G Mac Meissner G Joel Dahmen G Luke Clanton,,Sami Valimaki,G,20.00%,21
12,5075224338,jakdot2009,0,361,G Ryan Gerard G Nicolai Hojgaard G Aaron Rai G Sami Valimaki G Seamus Power G Andrew Putnam,,Seamus Power,G,20.00%,64.5
13,5075669925,tomlinsonj15,0,353.5,G Nicolai Hojgaard G Michael Thorbjornsen G Christiaan Bezuidenhout G Seamus Power G Stephan Jaeger G Tom Kim,,Brooks Koepka,G,13.33%,87.5
14,5074818747,dylangoody,0,338.5,G Ryan Gerard G Christiaan Bezuidenhout G Max McGreevy G Hao-Tong Li G Sami Valimaki G Sam Ryder,,Max Homa,G,13.33%,89.5
15,5074861619,jvaccari33,0,304,G Nicolai Hojgaard G Michael Thorbjornsen G Will Zalatoris G Hao-Tong Li G Chris Kirk G Joel Dahmen,,Mackenzie Hughes,G,13.33%,73
,,,,,,,Stephan Jaeger,G,13.33%,26.5
,,,,,,,Nicolas Echavarria,G,13.33%,122
,,,,,,,Keith Mitchell,G,6.67%,95.5
,,,,,,,Will Zalatoris,G,6.67%,0
,,,,,,,Mac Meissner,G,6.67%,26
,,,,,,,Chris Kirk,G,6.67%,28
,,,,,,,Jordan L. Smith,G,6.67%,79
,,,,,,,John Keefer,G,6.67%,22
,,,,,,,John Parry,G,6.67%,51.5
,,,,,,,Tom Kim,G,6.67%,65
,,,,,,,Sam Ryder,G,6.67%,25
,,,,,,,Billy Horschel,G,6.67%,63.5
,,,,,,,Zecheng Dou,G,6.67%,83
,,,,,,,Takumi Kanaya,G,6.67%,78
,,,,,,,Andrew Putnam,G,6.67%,23.5
,,,,,,,David Lipsky,G,6.67%,26
,,,,,,,Erik Van Rooyen,G,6.67%,26.5
,,,,,,,Luke Clanton,G,6.67%,28.5
,,,,,,,Zachary Bauchou,G,6.67%,73.5
,,,,,,,Joe Highsmith,G,6.67%,55.5
,,,,,,,Carson Young,G,6.67%,69
